playerID,yearID,votes,inducted,category,votedBy
Adrian Beltré,2024,366,Y,Player,BBWAA
Todd Helton,2024,307,Y,Player,BBWAA
Joe Mauer,2024,293,Y,Player,BBWAA
Billy Wagner,2024,284,N,Player,BBWAA
X-Gary Sheffield,2024,246,N,Player,BBWAA
Andruw Jones,2024,237,N,Player,BBWAA
Carlos Beltrán,2024,220,N,Player,BBWAA
Alex Rodriguez,2024,134,N,Player,BBWAA
Manny Ramirez,2024,125,N,Player,BBWAA
Chase Utley,2024,111,N,Player,BBWAA
Omar Vizquel,2024,68,N,Player,BBWAA
Bobby Abreu,2024,57,N,Player,BBWAA
Jimmy Rollins,2024,57,N,Player,BBWAA
Andy Pettitte,2024,52,N,Player,BBWAA
Mark Buehrle,2024,32,N,Player,BBWAA
Francisco Rodríguez,2024,30,N,Player,BBWAA
Torii Hunter,2024,28,N,Player,BBWAA
David Wright,2024,24,N,Player,BBWAA
X-Víctor Martínez,2024,6,N,Player,BBWAA
X-José Bautista,2024,6,N,Player,BBWAA
X-Bartolo Colón,2024,5,N,Player,BBWAA
X-Matt Holliday,2024,4,N,Player,BBWAA
X-Adrián González,2024,3,N,Player,BBWAA
X-Brandon Phillips,2024,1,N,Player,BBWAA
X-José Reyes,2024,0,N,Player,BBWAA
X-James Shields,2024,0,N,Player,BBWAA
